id,title,time,director,year,star1,star2,star3,star4,star5,star6,tomatome_rating,audience_rating,review1,review2,review3,review4,review5
1316,The Happy Poet,1 hr. 25 min.,Paul Gordon (XVIII),2013,Paul Gordon,Jonny Mars,Chris Doubek,Liz Fisher,Amy Meyers-Martin,Ricardo G. Lerma,73,51,"[Paul Gordon generates] good-natured humor through earthy characterization and precise observation of what it's like to run a small business. (His editing, which often approximates the rhythm of workaday drudgery, is clever without being cutesy.)","It's hardly slick, but that's the selling point. The Happy Poet approaches the ups and downs of friendship, love, work and life with a disposition that is both sardonic and sunny.","This mumblecore entry sometimes sacrifices ambiguity for the sake of broader, telegraphed, one-note laughs.","The smiley ending, most likely meant to be ironic, feels tacked on. But the consistent comic tone of those earlier scenes--a gentle squirm--makes The Happy Poet a promising debut.","A cutting edge social satire about vegetarian pushcart power. And how work, or the lack of it, informs our lives. Along with the struggle to survive in hard times, while serving up poetic revenge subversion of the Hollywood happy ending with relish."
1317,Room 514 (Heder 514),1 hr. 30 min.,Sharon Bar-Ziv,2012,Asia Neifeld,Guy Kapulnik,Ohad Hall,Udi Persi,Rafi Kalmar,Oren Farage,0,44,We get 2-character scenes with continual over-the-shoulder shots in the airless Room 514. Histrionics cry out a theme that lines of conflict are often blurred ... a ground that's been ground to death,One of the finds this year is the Israeli pressure cooker Room 514,,,
1318,Marketa Lazarová,3 hr.,Frantisek Vlácil,1967,Karla Chadimová,Vladimír Mensík,Harry Studt,Josef Kemr,Frantisek Velecký,Vlastimil Harapes,100,90,"By now, this burly, seething musk ox of a movie, arguably the most convincing film about the Middle Ages ever made, should be on everyone's tongue.",A wide-screen black-and-white feast for the eyes.,"Episodic in structure, the film proceeds like a folk saga, but its flashbacks, flash-forwards, and abrupt cuts give it a hallucinatory quality.","It's stark, daring and often astoundingly dynamic.","In less than a minute, before the film's opening titles even conclude, Marketa Lazarová has announced itself as something potentially unique, perhaps indefinable."
1319,Venom,1 hr. 32 min.,Alex Kurtzman,2016,Jessica Morris,Oliviah Crawford,Chuck Kelley,Roberto 'Sanz' Sanch...,Isarel Saez DeMiguel,Christian Levatino,0,67,,,,,
1320,Jack the Giant Slayer,1 hr. 54 min.,Bryan Singer,2013,Nicholas Hoult,Eleanor Tomlinson,Stanley Tucci,Ewan McGregor,Ian McShane,Eddie Marsan,52,55,Forget that Giant Slayer feels photocopied and is entirely unnecessary. It's just not exciting.,"Almost fascinating in that, as far as I can tell, it is a film with no target audience.","Underwhelming, as you might expect, but it's quite possibly the best Jack and the Beanstalk film you could imagine the studio system producing. Whatever that means.","Despite its many flaws, Jack the Giant Slayer is not a bad film, but rather a disappointing one","When you make a movie this awful, with no hint of useful self-awareness, you're not proving a point--you're giving up."
1321,Stoker,1 hr. 38 min.,Park Chan-wook,2013,Mia Wasikowska,Matthew Goode,Nicole Kidman,Dermot Mulroney,Thomas Covert,Jacki Weaver,69,60,"It's too safe, too knotty, too wastefully handsome, too dull.","The shame is that while the film is as glossy as late DePalma, essential Hitchcockiness is swapped out for random ickiness, a sorrow in light of Park's own history of crafting sleek, liquescent, swamping fever dreams.",Enthralling and tremendously entertaining.,"Will no doubt be dismissed by a few as little more than a work of filmmaking panache. The panache, though, is what makes the film great.","It's real strength, perhaps, is in its gaps and silences, which allow director Park to go to town with mood, composition and imagery."
1322,Quartet,1 hr. 38 min.,Dustin Hoffman,2013,Maggie Smith,Tom Courtenay,Billy Connolly,Pauline Collins,Michael Gambon,Sheridan Smith,79,66,The film's scant plot plays second fiddle to Hoffman and Harwood's nuanced exploration of love so long unrequited.,"Dustin Hoffman's directing debut about retired musicians in the third act of their lives has a winning, classy charm for older audiences.","The first thing to note is that Hoffman has apparently had a grand time working with these professionals, all of whom as residents of the home are splendid.","More lethargically paced than even the slowest of its geriatric characters, the movie creeps along with all the dull, inoffensive inevitability of old age.","Will she, or won't she, join the others on stage in a quartet rendition of Verdi? Not to worry: it all unravels splendidly in this teeth-in-a-glass comedic drama."
1323,Upside Down,1 hr. 47 min.,Juan Diego Solanas,2013,Jim Sturgess,Kirsten Dunst,Timothy Spall,James Kidnie,Holly O'Brien,Frank M. Ahearn,27,42,"Soon enough the worlds of Up Top and Down Below feel like distractions, CGI Potemkin villages.","A Romeo and Juliet story for the age of CGI overkill, Upside Down zigs where it should zag and dulls where it should dazzle.","Absent any emotional grounding, the film is a gorgeous, sterile construction, like a dream city unoccupied by humans.","Simply put, this is one of the craziest films to come along in a while and I can confidently say that anyone who sees it will either hail it is some kind of crackpot masterpiece or dismiss it as one of the silliest damn things they've ever seen.","It doesn't really develop its story, or its themes. It doesn't truly draw out its characters. It evokes no serious emotions. It has - in the end - no gravity."
1324,The Wedding Party,1 hr. 37 min.,Amanda Jane,2011,Josh Lawson,Isabel Lucas,Steve Bisley,Rhonda Burchmore,Adam Zwar,Nadine Garner,43,14,"Clumsily cobbled, tonally confused romantic comedy...a terrific premise with strong leads is sadly derailed by too many side stories.",An offbeat and entertaining ensemble piece that disappointingly ends on a lukewarm note.,"I don't think it's a film that aims very high and it sort of achieves what it aims to do, I think. I found it perfectly amiable.","The improbabilities and sheer banality of Christine Bartlett's screenplay are almost overcome by the quality of the cast, but not quite.","The Wedding Party may well have been a better film if the underdone premise of the fake wedding had been done away with altogether, because the movie is more interesting when it picks at the foibles and fears that gather around these couples."
1325,"""Sex, Lies, And Depravity""",1 hr. 57 min.,Jason Impey,2012,Leigh Sorrell,Natascha Sauer,Kealey Gavillet,Wade Radford,Victoria Howlett,Emilia Ufir,0,100,,,,,
1326,Des/Esperando,1 hr. 10 min.,Erick Salas Kirchhausen,2010,Tom Colvin,Veronica Moraga,Fernando Quintana,,,,0,0,,,,,
1327,Sister Italy,1 hr. 30 min.,Angelo Bonsignore,2012,Mario Bosco,Christine Vienna,Natalie Allen,Emelise Aleandri,Ed Bartosik (II),,0,100,,,,,
1328,In the Dark,1 hr. 39 min.,Richard Gabai,2013,Elisabeth Röhm,Sam Page,Shannon Elizabeth,Elizabeth Peña,Patrick Muldoon,Aiden Turner,0,17,,,,,
1329,Profile Of A Killer,1 hr. 48 min.,Caspian Tredwell-Owen,2012,Gabriele Angieri,Emily Fradenburgh,Joey Pollari,Ken Melchior,Dustin Booth,Owen Brafford,0,64,,,,,
1330,Killer Mountain,1 hr. 27 min.,Sheldon Wilson,2011,Aaron Douglas,Emmanuelle Vaugier,Crystal Lowe,Paul Campbell VIII,Curtis Caravaggio,Andrew Airlie,0,16,,,,,
1331,The Lesser Blessed,1 hr. 26 min.,Anita Doron,2013,Joel Nathan Evans,Chloe Rose,Kiowa Gordon,Benjamin Bratt,Adam Butcher,Tamara Podemski,50,53,"Despite [the movie's] issues, Doron has no trouble capturing the haunting grace of place and people and the harsh realities faced by ""The Lesser Blessed.""",Part of the long march of misunderstood movie adolescents that leads from the frozen Canadian North straight down to James Dean's Los Angeles in Rebel Without a Cause.,"[Doron] has assembled a uniformly solid cast, starting with an impressive debut by Evans, whose brown eyes are both soulful and watchful. It's a performance that commands our attention and empathy.","The emotions present in Anita Doron's film still feel fresh and universal, even if some of the dialogue is clunky.","It's an undeniably noble effort from all involved, but the dreary denouement makes viewer feel lesser than blessed."
1332,Black Pond,1 hr. 23 min.,Will Sharpe,2011,Chris Langham,Simon Amstell,Amanda Hadingue,Colin Hurley,Will Sharpe,Helen Cripps,0,65,,The message of the film is that normal people can be abnormal at times. One wishes there were more abnormal British films such as this.,"Langham's performance may not rehabilitate his career. Perhaps nothing could do that. But Black Pond is really good: haunting, melancholy and strange.",An assured debut with great performances and a wonderfully odd brand of British humour.,"You get your money's worth of surreal quirk but also pleasingly awkward comedy in this plucky Britflick, the dark tale of a family who bury a complete stranger."
1333,Battledogs,1 hr. 30 min.,Alex Yellen,2013,Dennis Haysbert,Kate Vernon,Craig Sheffer,Ariana Richards,Ernie Hudson,Bill Duke,0,15,An entertaining B movie with a very good cast of genre notables.,,,,
1334,No,1 hr. 57 min.,Pablo larrain,2013,Gael García Bernal,Alfredo Castro,Luis Gnecco,Antonia Zegers,Marcial Tagle,Nestor Cantillana,93,79,Gripping and suspenseful even though the ending is already known.,"The best movie ever made about Chilean plebiscites, No thoroughly deserves its Oscar nomination for Best Foreign Film.",The most cutting gag is just how much Saavedra's political ads resemble his recent campaign for a diet cola. And the punch line is that they work.,"No is an open conversation about the very means by which we understand ourselves and our societies, the way that we internalize advertising and news footage. It's a manifestation of national memory.","Larraín shows how idealism and venality sat side by side, how quickly the brutal circumstances in which Pinochet came to power were forgotten and how little seemed to change once he left."
1335,Pusher,1 hr. 27 min.,Luis Prieto,2012,Richard Coyle,Bronson Webb,Agyness Deyn,Zlatko Buric,Zlatko Burik,Paul Kaye,50,34,Just stick to the original: Fate is always more fetching than formula.,"The characters that populate Pusher are surprisingly naïve and hardly the brightest of bulbs. So much for the image of the wily, street-smart criminal.","The chief problem here is that Frank is neither likable nor very bright. For the most part, you're thinking, go ahead, bust his kneecaps.","Prieto does what he can to keep things roaring along, but the overall effect is not a lot more stimulating than your average diet cola.",We're ... left to cheer someone simply because there's really no one else to root for.
1336,Into the White,1 hr. 41 min.,Petter Naess,2013,Stig Henrik Hoff,Rupert Grint,David Kross,Florian Lukas,Lachlan Nieboer,Kim Haugen,50,67,"As dramatically potent as a B-tier Disney drama, Into the White, while displaying instances of complexity, is mired by cliché and melodrama.","Generates a satisfactory amount of suspense and personality to achieve its limited goals, successfully spinning routine with welcome attention to character.","[The cast] acquit themselves well, forging convincing and ultimately moving relationships as they learn how little petty political differences mean when starvation's at the door.",The performances are more than adequate.,Ponderous pacing makes this true-life tale a lot less enthralling than it might have been.
1337,A Guy Named Rick,1 hr. 30 min.,Joe Benedetto,2012,Jonathan Michael Web...,Ashley C. Williams,VICTORIA GILLETTE,Joe Benedetto,Christina Calph,Alyssa Middleton,0,0,,,,,
1338,Beauty and the Least: The Misadventures of Ben Banks,,Bryce Clark,2013,Ben Banks,Katharine Towne,Mischa Barton,Emily Moffat,Michael Hobert,Melora Hardin,0,40,,,,,
1339,Heebie Jeebies,1 hr. 25 min.,Thomas L. Bolster,2013,Robert Belushi,Cathy Shim,Michael Badalucco,Lucille Soong,Evie Thompson,Dave Randolph-Mayhem...,0,11,,,,,
1340,The Rambler,1 hr. 39 min.,Calvin Reeder,2013,Dermot Mulroney,Lindsay Pulsipher,Natasha Lyonne,James Cady,Scott Sharot,Paul Blott,40,36,Misguided exercise in genre fetishism marks a forgettable misfire.,"What all of this means is, frankly, nothing. But it's a handsome nothing, at least until you get sick of the screaming.","Foreboding images abound - crawling lizards, mysterious lights in the sky, a funereal assembly populated by grotesques - along with occasional ambient droning on the soundtrack and moments of mild humor and raw gore. Do the tableaus add up? Not really.",The kind of movie where more effort seems to have gone into the cast's wardrobe than their dialogue.,Writer-director Calvin Lee Reeder's randomly splattering take on the back-country-road movie.
1341,Birds of a Feather,1 hr. 20 min.,Curtis Franklin,2012,Big Bank Black,Zaytoven,Al Nuke,Gucci Mane,Gorilla Zoe,Rocko,0,25,,,,,
1342,The Girl,1 hr. 31 min.,Julian Jarrold,2012,Toby Jones,Sienna Miller,Imelda Staunton,Candice D'Arcy,Penelope Wilton,Carl Beukes,0,41,Hitchcock biopic reveals dark side of acclaimed director.,"Hitchcock fans have vigorously disputed the film's version of events (scripted by Gwyneth Hughes and sanctioned by the now-82-year-old Hedren herself), but on screen it makes for gripping viewing.",Uses the perils of immigrating to this country without papers as a backdrop for a poor white American woman's bumpy path to enlightenment.,,
1343,The Tower,3 hr.,Kim Ji-Hoon,2012,Jan Josef Liefers,Sebastian Urzendowsk...,Claudia Michelsen,Nadja Uhl,Sul Gyung-gu,Ye-jin Son,20,59,"Kim Ji-hoon overdoses on visual fireworks in a way that smothers any human drama mustered by the sprawling cast, whose marquee names are treated as mere icing on the cake.","""The Tower"" may be skillfully executed as an effects-laden opus, but its miniature portraits in courage are ultimately too jerry-built to feel like anything but filler between the combustive set pieces.","Even at its best, The Tower is beholden to unearned emotional payoffs.","Don't look for character development or deep meaning, but THE TOWER is a real roller-coaster ride.","There are exploitation films and then some, but this Korean twin-tower disaster epic takes the cake for callously evocative imagery and sentimental schlock."
1344,Homefront (The Things We Leave Behind),,Chip Rossetti,2013,Timothy Paul Taylor,Brenda Jo Reutebuch,Jansen Hammock,Michael Loos,Cindy Maples,Seth Adair,0,0,,,,,
1345,Inescapable,1 hr. 30 min.,Ruba Nadda,2013,Alexander Siddig,Joshua Jackson,Daniel Iron,Marisa Tomei,Jay Anstey,Oded Fehr,19,28,The film tries to meld politically charged personal drama with the action-movie tropes you'd expect in a story set in the Middle East. (Chase through a crowded marketplace? Brawl at the hamam? Check!),"The plot unfolds at a nice clip, but at no point does director Ruba Nadda evade expectations.","One hopes ""Inescapable"" is only a momentary stumble for this promising filmmaker.","A Canadian nonthriller that plays like a heavily sedated hybrid of ""Taken"" and ""Not Without My Daughter"" ...","Inescapable is Nadda's first foray into thriller territory, and her inexperience shows in awkwardly mounted fight scenes and clumsy car chases, not to mention an almost fatally explanatory script."
1346,Least Among Saints,1 hr. 45 min.,Martin Papazian,2012,Martin Papazlan,Tristan Lake Leabu,Laura San Giacomo,Charles S. Dutton,Azura Skye,Audrey Marie Anderso...,36,86,"This quietly affecting indie film, about a Middle East war vet and the 10-year-old boy he takes under his wing, gently pulls the heartstrings while making dramatic missteps along the way.",The results are too predictable.,"Though both actors deliver performances more credible than the plot that frames them, their authenticity only highlights the script's affection for improbable coincidences and an ending even Garry Marshall might consider too pat.","A film in which any authority figure who can't magically sober up and play surrogate daddy for a spell is treated as either a meddler or a well-meaning, do-nothing skeptic.","The top notch production qualities, great direction, and fantastic ensemble performances make this film a definite recommendation."
1347,An American Girl: Saige Paints The Sky,1 hr. 40 min.,Vince Marcello,2013,Jane Seymour,Sidney Fullmer,Alex Peters,Alana Gordillo,Kerr Smith,Mika Abdalla,0,76,Sweet American Girl story about finding your voice.,,,,
1348,Guido,1 hr. 20 min.,Colin Campbell (X),2013,Alki David,Lupe Ontiveros,Billy Zane,Gary Busey,Armand Assante,Ron Jeremy,0,0,,,,,
1349,The Girl,1 hr. 35 min.,David Riker,2013,Abbie Cornish,Maritza Santiago Her...,Will Patton,Giovanna Zacarías,Luci Christian,Raul Castillo,53,44,"It's unfortunate that Riker's strong central character and evocative location work get undermined, at every turn, by a plot that not only springs zero surprises, but reduces the terror and loss of Cornish's charges to mere life lessons for her.","The Girl enlightens with an unusual insight into the courage, durability and struggle of the Mexican people while taking the viewer on a guided tour of a piece of the country tourists never see.","In all aspects, The Girl can't help it-this is headline-torn cinema du tearjerking at its most generic.",Hernandez is soulful and affecting ... and Cornish embodies Ashley's self-centered character with nuance and subtlety.,"""The Girl"" wants to be eat-your-vegetables cinema, but vegetables are good for you. This misery fest is more like an eat-your-bark movie."
1350,Unexpected Places,1 hr. 52 min.,Michael Brennan,2013,Penny Carlisi,Tim Torok,Wayne Brown,Dawn Storey,Chad Gibbons,Robin McCoy,0,0,,,,,
1351,Smart Cookies,1 hr. 27 min.,Robert Iscove,2012,Jessalyn Gilsig,Patricia Richardson,Bailee Madison,Ty Olsson,Samantha Ferris,Claire Corlett,0,50,,,,,
1352,Nicky Deuce,1 hr. 7 min.,Jonathan A. Rosenbaum,2013,Noah Munck,Steven R. Schirripa,Cristine Prosperi,Cassius Crieghtney,James Gandolfini,Michael Imperioli,0,47,,,,,
1353,Crazy Kind Of Love,1 hr. 30 min.,Sarah Siegel-Magness,2013,Virginia Madsen,Sam Trammell,Zach Gilford,Amanda Crew,Graham Rogers,Eva Longoria,0,45,"Crazy Kind of Love is like a dramedy set in a parallel universe where nobody can tell the heroine is a raging psychotic, more than the coming of age story it intends. The only thing that ages here are unlucky viewers.",,,,
1354,Temptation,1 hr. 51 min.,Tyler Perry,2013,Jurnee Smollett,Lance Gross,Kim Kardashian,Vanessa L. Williams,Robbie Jones,Renée Taylor,15,66,"Perry's movies have become so thematically grandiose, visually incoherent, and self-defensively bourgeois that the only way to receive them lately is as a cynic.","Perry has some worthwhile filmic models-Temptation gestures at Woody Allen in its setup, and Douglas Sirk in its melodrama-but he isn't even in the same star cluster as those greats.","Look, we know what's going to happen. The movie's called Temptation, okay? Yet we still have to sit through more than an hour of flirty glances and repetitive conversations between Judith and Harley until anything vaguely adulterous occurs.","Tyler Perry's Temptation is an awful, awful film and while it is easy to mock and dismiss, it is also kind of a shame to behold.",Limp pacing and countless shots of Washington's skyline plague the narrative.
1355,Kriegerin (Combat Girls),1 hr. 40 min.,David Falko Wnendt,2012,Alina Levshin,Gerdy Zint,Jella Haase,Sayed Ahmad,Lukas Steltner,Winnie Böwe,0,66,,,,,
1356,Spring Breakers,1 hr. 33 min.,Harmony Korine,2013,Selena Gomez,James Franco,Ashley Benson,Rachel Korine,Vanessa Hudgens,Cliff Martinez,66,38,The movie is too calculated to shock. Korine just wants to be the danger he's warning us about.,Actual spring breakers will probably loathe the movie; it's really for the pale art majors who never went.,The most extraordinary thing about Korine's direction is how he gradually shifts the position of the viewer from self-possessed outsider looking in to complete immersion during a denouement where there is no one worth rooting for.,"Sort of like what might happen if Jean-Luc Godard directed a Girls Gone Wild video, it's not just a movie that has its cake and eats it too. This is a movie that has its cake and eats more cake.",Korine's most entertaining film to date.
1357,White Frog,1 hr. 33 min.,Quentin Lee,2013,Booboo Stewart,Harry Shum Jr.,B.D. Wong,Joan Chen,Gregg Sulkin,Kelly Hu,0,72,"The opulent Beverly Hills setting, in which every character lives in a mansion and drives a luxury car, is offered up without comment or, oddly enough, any sort of visual style to complement it.","Like getting a half-dozen undercooked after-school specials at once, Quentin Lee's ""White Frog"" serves up a medley of messages and themes while generating no discernible dramatic heft.",,,
1358,Would You Rather,1 hr. 35 min.,David Guy Levy,2013,Brittany Snow,Jeffrey Combs,Sasha Grey,John Heard,Jonathan Coyne,Lawrence Gilliard Jr...,55,37,Hardly a most dangerous game night at the movies.,This restrained exercise in torture porn benefits from its clever concept and restrained execution.,A derivative horror movie with highfalutin pretensions.,"Director David Guy Levy's witless homage to the ""Saw"" franchise and its ilk.","With a bit less grisliness, it could have been a mystery dinner-theater performance."
1359,Boy,9 min.,Taika Waititi,2012,James Rolleston,Te Aho Eketone-Whitu,Taika Waititi,Rajvinder Eria,Moerangi Tihore,Cherilee Martin,86,85,"Even the inevitable flaws of the low-budget production are winning, showcasing as they do the narrative artistry that makes Boy so distinctive amid current factory-written studio productions.",A simple story of coming of age and the bitter failings of hero worship that succeeds thanks to the impressive skills of its young star.,"""Boy"" finds hope, and love, in the oddest corners.",Waititi has reached into his past for a story that belongs to him alone.,"A film like this would have little chance without the right casting, and James Rolleston is so right as Boy, it's difficult to imagine anyone else."
1360,My Best Enemy,1 hr. 49 min.,Wolfgang Murnberger,2013,Moritz Bleibtreu,Georg Friedrich,Ursula Strauss,Uwe Bohm,Marthe Keller,Udo Samel,18,73,The film plays mostly as an uneasily satirical thriller.,"An awkward blend of anti-Semitic atrocities and identity-swapping absurdity, the World War II drama ""My Best Enemy"" struggles to find a convincing tone.","The script relies on too many unlikely twists, but Bleibtreu manages to sell them all.",A movie largely devoid of attitude or suspense.,"My Best Enemy bleeds suspense like a pin-pricked tire. It wants to be clever, but survivor tales bring with them too much muck."
1361,Tyler Perry's The Haves and The Have Nots,2 hr. 10 min.,Tyler Perry,2013,Palmer Williams Jr.,"""Palmer Williams, Jr.""",Tony Hightower,Patrice Lovely,Jeffrey Lewis,"Kislyck ""Kissy"" Hals...",0,92,,,,,
1362,Dark Power,1 hr. 39 min.,John Milton Branton,2013,Sean Patrick Flanery,Kristanna Loken,Chris Carmack,Morgan Fairchild,Lydia Echevarría,Jeffrey Dean,0,0,,,,,
1363,The Power Of Few,1 hr. 36 min.,Leone Marucci,2013,Christopher Walken,Christian Slater,Anthony Anderson,Jesse Bradford,Q'Orianka Kilcher,Moon Bloodgood,57,38,"The picture... can't be said to break any new ground in the gritty, mean-streets genre. But it has a better-than-average cast and a few clever plot twists, and it ends up being an occasionally amusing time-killer.","A ham-fisted, timeline-altering variety pack of crime set in New Orleans.","The Power of Few still feels very ""independent"" and, more importantly, original. Even if its cast is filled with well-known actors, the film embraces risky, unconventional storytelling.",I had never heard of screenwriter/director Leone Marucci before. But you can bet I will remember his name after seeing 'The Power of Few.',"A jumbled, offbeat mash-up of conspiracy-tinged action and armchair philosophizing that is hamstrung by a strange combination of slapdash plotting and its own self-importance."
1364,Assassins Tale,1 hr. 32 min.,Arthur Louis Fuller,2013,Michael Beach,Anna Silk,Guy Garner,Gary Poux,Kaiwi Lyman-Merserea...,Rob Roy Fitzgerald,0,20,,,,,
1365,Will a Man Rob God?,1 hr. 29 min.,Curtis Von,2013,Darius McCrary,Robin Givens,Evangeline Gabriel-Y...,,,,0,0,,,,,
1366,Flying Lessons,1 hr. 44 min.,Derek Magyar,2010,Maggie Grace,Christine Lahti,Cary Elwes,Hal Holbrook,Jonathan Tucker,Michael O'Neill,0,0,,,,,
1367,Hecho En Mexico,1 hr. 40 min.,Duncan Bridgeman,2012,Alejandro Fernández,Diego Luna,Carla Morrison,Rubén Albarrán,Daniel Giménez Cacho,Natalia Lafourcade,0,78,,,,,
1368,Bidder 70,1 hr. 10 min.,Beth Gage,2013,Robert Redford,Terry Tempest Willia...,James Hansen,Terry Root,Ron Yengich,Patrick Shea,78,52,"Though viewers may already be aware of how DeChristopher's 2011 trial ended, the film maintains a gripping air of tension and mystery leading up to the verdict (he was sentenced to two years in federal prison for fraud but released after 21 months).","As dully earnest, disorganized and self-righteous as an editorial in a student newspaper ...","""Bidder 70,"" for all its clumsiness, nails the way that a spontaneous act of courage can focus the mind and clarify an ideology.",Seems designed primarily for teach-ins and rallies.,DeChristopher's ability to move with intellectual seriousness and a light heart between festivals and courtrooms complicates the popular idea of The Man and what his brand of power can achieve.
1369,The End of Love,1 hr. 30 min.,Mark Webber,2013,Mark Webber,Shannyn Sossamon,Amanda Seyfried,Michael Bacall,Isaac Love,Michael Cera,56,47,Creative people often mistakenly assume that the trials of their profession are compelling.,"""The End of Love"" is an exceptionally intimate, human-scaled picture. It's also quite a special piece of work.","Mr. Webber, a skilled actor, has not devised a narrative with sufficient momentum or tension to sustain much interest.","There is plenty of evidence that Webber has something significant to say, and the gifts with which to express himself. Once he's ready to commit fully to his own vision, there's no end to what he might accomplish.","Shot with tiny digital cameras to minimize the sense of intrusion, The End Of Love sometimes feels like a home movie, but that's also the source of its strength."
1370,Armynel,1 hr. 14 min.,Lance Dumais,2012,Mariel Gomsrud,David Novak,Danielle DiLorenzo,Mark Adams,Phil Aslaksen,Devon Bernsley,0,0,,,,,
1371,The Adored,1 hr. 37 min.,Carl Medland,2012,Laura Martin-Simpson,Ione Butler,Jake Maskall,Caroline Burns Cooke,,,0,17,,,,,
1372,42,2 hr. 8 min.,Brian Helgeland,2013,Chadwick Boseman,Harrison Ford,Nicole Beharie,Christopher Meloni,Ryan Merriman,Lucas Black,79,86,"A dramatization of what Robinson did and what it required, 42 will not disappoint.","It's not easy to play a stoic, but Boseman anchors the movie, and when he smiles, 42, already such a warm story of such cold times, gets even brighter.","The style of the film, lush and traditional, is nothing special, but the takeaway, a daily struggle for dignity, is impossibly moving.","So 66 years after Robinson became the first black major league baseball player, here we are with 42, which has been made with such reverence for Robinson's importance that Robinson is barely there.","A hero without imperfections can be problematic. But Jackie's nobility is more than well-earned, and tarnishing it for the sake of balance would be churlish. Besides, there's enough evil at loose among the white characters."
1373,Wild Bill,1 hr. 38 min.,Dexter Fletcher,2011,Charlie Creed-Miles,Will Poulter,Sammy Williams,Liz White,Sean Pertwee,Leo Gregory,100,82,"There's no faulting Fletcher's unfussy, quietly impressive directorial style. A solid start.","With a concept and influences consciously in mind; fine performances by Creed-Miles, Poulter, and Williams; and approving cameos...Fletcher is able to put his best foot forward in this creditable debut.",There's a lot more to this likeable crime flick than your usual dunderheaded Danny Dyer vehicle.,"An unusually affecting movie, with pitch-perfect comic moments, a lot of heart, and a beautiful final shot that acts as a crowning achievement for Creed-Miles.","Dexter Fletcher doesn't overplay the cowboy angle. Instead, he puts most of his efforts into creating a believable dynamic between the father and his sons, and it's in this tangled skein of shyness, suspicion, loyalty and love that the film's heart lies."
1374,5 Shells,1 hr. 33 min.,Paul S. Myers,2013,Kelsey Hutton,Eve Kozikowski,Lincoln Mark,Craig Myers,Chad Brummett,Jordan Grady,0,14,,,,,
1375,Flying Monkeys,1 hr. 25 min.,Robert Grasmere,2013,Mike Kimmel,Maika Monroe,Vincent Ventresca,Boni Yanagisawa,Michael Papajohn,Electra Avellan,0,0,,,,,
1376,The Good Life,2 hr. 5 min.,Christopher Nolen,2013,Richard Gallion,Tangi Miller,Christian Keyes,Mari Morrow,Maya Gilbert,Ray Grady,0,20,,,,,
1377,Bubblegum & Broken Fingers,1 hr. 29 min.,Sean Jackson,2011,Camme Tyla,Dean Mauro,Mandy Williams,Brenna Daly,Patty Chong,Kris M. Mayeshiro,0,0,,,,,
1378,God Don't Make The Laws,1 hr. 40 min.,David Sabbath,2011,Ella Rae Peck,Lucas Salvagno,Bruce Davison,Paul Sorvino,Peter Vack,Bob Braswell,0,0,,,,,
1379,The Sweeter Side of Life,1 hr. 21 min.,Michael Damian,2013,Kathryn Morris,James Best,Luke Roberts,Alastair Mackenzie,Steve Varnom,Sam Douglas,0,33,,,,,
1380,Darkest Night,1 hr. 39 min.,Noel Tan,2013,DJ Perry,Anne Gauthier,Issa Litton,Nic Campos,Jill Palencia,Justin Hoong-Fai Cha...,0,0,,,,,
1381,From The Head,1 hr. 35 min.,George Griffith,2013,Samantha Lemole,Matthew Lillard,Jeffrey Doornbos,George Griffith,Jon Polito,James Urbaniak,0,78,"Despite its claustrophobic setting and small-scale concerns, this low-key drama proves unexpectedly diverting.",A remarkably assured debut.,"Griffith's wry dramedy is both a character study and a personal showcase, but his fatal flaw is that Shoes just isn't as interesting as the drunks, jerks, goons and dreamers who stumble into his lair to relieve themselves.",An intriguing pop-psychology character study -- a movie of minor revelations but shrewd behavioral observations.,
1382,Will,1 hr. 42 min.,Ellen Perry,2011,Perry Eggleston,Damian Lewis,Bob Hoskins,Kristian Kiehling,Alice Krige,Brandon Robinson,0,45,"It's a silly symphony of embarrassment, a sentimental journey along a road paved not with yellow bricks but red cards.","Barely five minutes in, Will is already choking on an airless script and bumping desperately off its flyweight supporting players...","The idea is sweet enough, recalling Africa United, but the execution is painfully amateur. Improbable, hackneyed and very dull.","This superficial family drama will appeal to many Reds' fans, but it's also so twee compared with Danny Boyle's Millions (2004) that it's unlikely anybody else will want to go near.","It just feels rather silly, as if it assumes such a reverent audience couldn't possibly need anything as pedestrian as believable characters or a likely plotline."
1383,Loose Cannons (Mine Vaganti),1 hr. 50 min.,Ferzan zpetek,2010,Riccardo Scamarcio,Nicole Grimaudo,Alessandro Preziosi,Ennio Fantastichini,Lunetta Savino,Ilaria Occhini,71,74,"As virtual tourism, it's a success but as dramatic fare it's a distinctly thin bowl of zuppa.","The feel is somewhat cloistered and the pace rarely gets the pulse racing but this is engaging and affecting stuff, handsomely shot and well acted: Ilaria Occhini is a stand-out as the grandmother.",,,
1384,Fatal Call,1 hr. 30 min.,Jack Snyder,2012,Jason London,Danielle Harris,Kevin Sorbo,Lochlyn Munro,Srikant Chellappa,Joel Lewis,0,0,,,,,
